Dec 12,"Ngonlain Bareng Monyet, yg baru bisa bertwiteran",Sama Setuju  Mari #BoikotJNE #StopJNEKadroen #StopPakaiJNE #JNEKadrun #JNE30Ngadrun @JNECare @JNE_ID @JNE_Peru STOP  INTOLERANSI     SARA     PREMANISME & TERORISME
Dec 12,Juan,Aku mau ikutan #BoikotJNE
Dec 12,Miman Sulaiman,Buat saya tidak perlu sampai #BoikotJNE . Pabrik kawat bronjong di Indonesia timur  klik https://toamakassar.co.id #bronjong #kawatbronjong #bronjongkawat #pttoamakassar #bronjongmesin #bronjongpabrikasi
Dec 12,Hongkiy,Up #JNEKadrun #BoikotJNE
Dec 12,yaelahdude_,Paling enak kalo kirim barang via #JNE #boikotJNE #JNEKadrun
Dec 12,PANCASILA KEBANGGAAN KU,#BoikotJNE
Dec 12,G O M B A K,Make a noise  .  #BoikotJNE
Dec 12,ArJom,#BoikotJNE
Dec 12,MUBIN,Menurut saya tidak perlu #BoikotJNE  Saya malah pengengnya ada jasa pengiriman yang Nahdliyyin  yang ada kantornya sampai di desa-desa. Cc : @nuchannels @nu_online @robikinemhas @hadiprayitno82 @didiksuyuthi  Spesial Cc : @NUgarislucu
Dec 12,Pakde Kadrun,#BoikotJNE #JNEKadrun
Dec 12,gabener,ayy kesel kenapa video haikal dihapus admin twitter @JNE_ID #BoikotJNE
Dec 12,rempong,Up #BoikotJNE
Dec 12,Endri Yanson,#BoikotJNE
Dec 12,FIKRI MADU MATA,Gk ngaruh tetep aja #BoikotJNE
Dec 12,Pakde Kadrun,#BoikotJNE #JNEKadrun
Dec 12,Dvee88,SIAP..kembali ke PT Pos Indonesia  majukan Indonesiaku  #BoikotJNE #JNEKadrun
Dec 12,Anthony,#BoikotJNE bagusan sicepat sih  bbrp kali pake.jd fix lah kadrun dasar
Dec 12,Batak New Normal,Knapa sih sekarang ngetren #BoikotJNE ?
Dec 12,gabener,kenapa video haikal dihapus min @JNE_ID ?  #BoikotJNE
Dec 12,Rezano Aguero,Jauh sebelum ada tagar #BoikotJNE #JNEKadrun gw mah udah g pernah pake JNE  Bukan bukan karna JNE ngaji  ke ust haikal hassan tapi emang pelayanannya lemot sih  jaman 2017 waktu kulakan flare. Harga JNE lebih mahal dari pada J&T harga lebih mahal nyampe lebih lama.
Dec 12,Amin nur,Fix #BoikotJNE
Dec 12,DanieLo,TAEEKKKK.... #BoikotJNE
Dec 12,holy man,Dasar baijngan2..siapa2 yg dekat dng kaum muslim di tuduh yg macam2 ...di habisi karakternya...itu pun kita blm ngeh jg dng situasi ini... #BoikotJNE
Dec 12,JustShutUp,Gegayaan pake #BoikotJNE lo belanja 12 12 aje masih make JNE bgstttt.
Dec 12,Bhibieb Cangkul (Front Pembela Imam cabul),Apa harus ada tagar #BoikotJNE 
Dec 12,RSetiadji,Fix gue ga akan pakai layanan @JNE_ID JNE netral? Berak sekebon #BoikotJNE #JNEKadrun
Dec 12,Soeharto09,Meluuu mas  #BoikotJNE
Dec 12,Black ID™,#BoikotJNE
Dec 12,NKRI,@JNE_ID Kadrun #BoikotJNE
Dec 12,Endri Yanson,#BoikotJNE
Dec 12,Fadli Kurniawan,"Nanti ada kok lawannya tagar 2 ini dari kubu sebelah  berantem pake tagar lagi dah lu-lu pada. Lagi pandemik begini  ada-ada ajaa kelakuan bos perusahaan ""tukang nganter paket""  #BoikotJNE #JNEKadrun"
Dec 12,Atiq Kurniawan,Ngomongnya #BoikotJNE   tapi dikasih gratis ongkir langsung dipakai haahaaa
Dec 12,Dala lim,@Dennysiregar7 @JNE_ID Kadrun #BoikotJNE
Dec 12,Andi Safri Bachtiar,Semua yg menokohkan kaum intoleran sepantasnya diboikot..  #BoikotJNE
Dec 12,Wanto,Kenapa bawa sial semua ya?  Fadlizonk foto sama wowo dan trump akhirnya kalah jd presiden  Somad doain wowo dan akhyar  akhirnya kalah   Skrg JNE sama haikal kena #BoikotJNE pulak..wkwkwk
Dec 12,RAF EL HUSAIN,KADAL HARUS DIBRANGUS #BoikotJNE
Dec 12,rempong,#BoikotJNE
Dec 12,Uget uget Mbetik,#BoikotJNE
Dec 12,Radio Station,#BoikotJNE
Dec 12,Andi Safri Bachtiar,Boikot kelompok pro intoleran...#BoikotJNE
Dec 12,Jasmin Monica,#BoikotJNE udh lama gak pake JNE   pelayanan gak memuaskan dan tiap kirim paket memang agak rada rasis dkit brp x ketemu yg gtu. Tp gk semua ya ada jg yg ramah dan baik dan sopan. #BoikotJNE
Dec 12,Irwan,Kalau terlalu banyak bergaul sama kadrun dan Ustadz bajakan jadinya akan dibully netizen  #BoikotJNE #KamiPercayaFPITerrorist
Dec 12,Mentari Ngalam , #BoikotJNE #BoikotJNE
Dec 12,BHINNEKA TUNGGAL IKA,Siap #BoikotJNE
Dec 12,samba madangkara,Ah ngomong apa kau... Apa kau tau kalau sebagian ke untungan di pakai donasi buat operasional teroris. Maksudnya apa coba dan urusannya apa sama Banser...? #BoikotJNE #JNE30Ngadrun
Dec 12,Jokowi Baik,#BoikotJNE
Dec 12,latto,#BoikotJNE pendukung intoleransi #FPISayapTeroris #BubarkanFPI
Dec 12,Sutadonny,#BoikotJNE  langsung pindah ke jasa titipan yg lain setelah tau di situ ada  di dia yg in toleransi dan provokator serta radikal
Dec 12,Kang NuN,#BoikotJNE
Dec 12,RAF EL HUSAIN,Brangus para KADRUN!!! #BoikotJNE
Dec 12,BetapaGenit212,baru tau ternyata ngadruun #boikotjne
