date;name;tweet;sentimen
Oct-03;Yud;@byu_id min cek dm ya;netral
Oct-03;putra.;Hashhh pelayanan @byu_id blas ra masok;netral
Oct-03;krps;@byu_id jaringan kamu kenapa sih. Ancur bener keknya disini hehe;negatif
Oct-03;Asep Maulana R;Bantu jwb emg speednya dibatesin klo unlimited 1Mbps..  1Mbps sekitar 125 KBps buat download ya lemot karna dilimit yg biasanya speed diatas 1000KBps;negatif
Oct-03;#MosiTidakPercaya;@byu_id itu 1.5 Mbps speednya ya? Sebulan unlimited?;netral
Oct-03;Opor Kadal;Rebahan;netral
Oct-03;Do;aku kalo pake tsel vs aku kalo pake by.u  @Telkomsel  tolong2 nih @byu_id  pingnya jumping teros astaga mamak;negatif
Oct-03;ulil amri;Promo order kartu masih ada wilayah Makassar ?;netral
Oct-03;정순입니다;"Yaampun bisa dapet kuota gratis pemerintah gasih :"")";positif
Oct-03;slurf;Kembalikan 1 mbps 100 rb  hidupku jd suram gara2 gak bisa stream film;negatif
Oct-03;kikiw;Au ah bt;netral
Oct-03;Fajar KA;Dapet hadiah dari @byu_id biar ga stress katanya. Btw balikin paket yang 100k/bulan wkwkwk;negatif
Oct-03;까꿍!;Ashiap min  harganya jangan naik ya.. ;positif
Oct-03;Derii;Kalo ujan jangan lemot dong  Jakarta loh.  Dah masuk musim ujan pula;negatif
Oct-03;Nakula;among us lagi. lama2 gw maen juga nih;netral
Oct-03;Kata;Yg jodoh jalur Twitter gimana dong?....;netral
Oct-03;adtewu;4G dpt kok tp cmn 1-2 bar aja  3G baru full bar mknya aku pke.;negatif
Oct-03;pratm;Nomor tiket 3848838 mana ini minn kuota msh blm masuk;negatif
Oct-03;Rait;baru nemu provider yang bisa bikin kuota semaunya wkwkwk lgsg gas 35gb 30 hari 150rb;netral
Oct-03;π;Dear byU(nindi) Kenapa setiap lampu mati kuota byU meski 4G enggak bisa dipake ?;negatif
Oct-03;Sobat Pengangguran #MiFan;Ini dirumah ya min tapi kalo ditempat lain ya lancar;netral
Oct-03;Sobat Pengangguran #MiFan;Main among us server asia sering disconnect min   Apalagi main moba peringkat ku trun gara gara disconnect;netral
Oct-03;Ibrohimfaruq23;Rajin pangkal pandai  hemat pangkal LALAI hahaha lalai akan apa yang menjadi prioritas;negatif
Oct-03;uᴉpnɹdɐʎsɾ;@triindonesia asli aplikasi Bima+ makin kesini makin sudah dipake  makin lemot  mau beli paket aja susah nyarinya  tolong di benerin dong  gw kasih contoh ni aplikasi operator @byu_id bagus  gampang di pake.;positif
Oct-03;PRASTAAA;Tapi kartu 3 lancar jaya lte ngebutt;positif
Oct-03;pup;Signal @byu_id masih aman;netral
Oct-03;MIFTAKHUL R;Semua jaringan internet itu perantaranya jaringan listrik mas...;netral
Oct-03;yanuarizki;Taunya 1000 rupiah bisa beli toping telfon 43200 menit kesesama by.u selama 30hr  sama 1000 rupiah bisa beli paket 1mbps untuk 1 jam;netral
Oct-03;Da'aniel Eka;@byu_id balas min;netral
Oct-03;Erpαn Herdiαnsαh;kok jaringannya sekarang jelek ya dan gk stabil min;negatif
Oct-03;Da'aniel Eka;@byu_id makin kesini kok koneksi sering bengong beberapa detik? Padahal telkomsel gak kayak gitu ?;negatif
Oct-03;Asep Muhamad Hidir;.@byu_id Makin kesini makin jelek. Dari tadi muter-muter mulu. Ternyata pake jaringan Telkomsel pun gak ngejamin sinyal bakalan kuat dan stabil.;negatif
Oct-03;N A Y;Ga nyangka dapet peringkat tiga  seminar nya @byu_id;netral
Oct-03;LALISA MANOBAN;Hajar min sentil terus.;netral
Oct-03;Rio Aditya Pratama;hemat pangkal pelit wkwkwk;negatif
Oct-03;penikmat kulit ayam;Sengsara;netral
Oct-03;M N Huda;Pelit;negatif
Oct-03;Barukia Muhanmado;Pangkal lapar;netral
Oct-03;KRey Bambu;Congratzz Selphie & @byu_id semoga lancar dan segera dapat momongan;netral
Oct-03;ini orang;iya aku baru tau ternyata bisa hangus:( kaya gini baru² ini apa udah dari dulu ya?;negatif
Oct-03;Susu Saya;Rajin pangkal pandai  hemat pangkal pinang;netral
Oct-03;알반;Tergantung TKP kali ya? Atau gimana;netral
Oct-03;알반;Gua dlu pake byu grgr paket² operator lain pada mahal. Tp mkn lama makin agk gk enak aj pakeny Trus tsel blkngn ini promo nya juga gila²an Akhirnya move on deh Maaf @byu_id;positif
Oct-03;nathan;kihhh bisa aja anak kimia;netral
Oct-03;Ex.;tambahin topping buat main game dong min;netral
